,equity
2023-01-02,1000000.0
2023-01-03,1000000.0
2023-01-04,1000000.0
2023-01-05,1000000.0
2023-01-06,1000000.0
2023-01-09,1000000.0
2023-01-10,1000000.0
2023-01-11,1000000.0
2023-01-12,1000000.0
2023-01-13,1000000.0
2023-01-16,1000000.0
2023-01-17,1000000.0
2023-01-18,1000000.0
2023-01-19,1000000.0
2023-01-20,1000000.0
2023-01-23,1000000.0
2023-01-24,1000000.0
2023-01-25,1000000.0
2023-01-26,1000000.0
2023-01-27,1000000.0
2023-01-30,1000000.0
2023-01-31,1000000.0
2023-02-01,1000000.0
2023-02-02,1000000.0
2023-02-03,1000000.0
2023-02-06,1000000.0
2023-02-07,1000000.0
2023-02-08,1000000.0
2023-02-09,1000000.0
2023-02-10,1000000.0
2023-02-13,1000000.0
2023-02-14,1000000.0
2023-02-15,1000000.0
2023-02-16,1000000.0
2023-02-17,1000000.0
2023-02-20,1000000.0
2023-02-21,1000000.0
2023-02-22,1000000.0
2023-02-23,1000000.0
2023-02-24,1000000.0
2023-02-27,1000000.0
2023-02-28,1000000.0
2023-03-01,1000000.0
2023-03-02,1000000.0
2023-03-03,1000000.0
2023-03-06,995170.5598813497
2023-03-07,990409.3060085594
2023-03-08,990409.3060085594
2023-03-09,990409.3060085594
2023-03-10,990409.3060085594
2023-03-13,990409.3060085594
2023-03-14,990409.3060085594
2023-03-15,990409.3060085594
2023-03-16,990409.3060085594
2023-03-17,990409.3060085594
2023-03-20,990409.3060085594
2023-03-21,977403.8415276852
2023-03-22,956903.841527685
2023-03-23,956903.841527685
2023-03-24,956903.841527685
2023-03-27,956903.841527685
2023-03-28,956903.841527685
2023-03-29,956903.841527685
2023-03-30,956903.841527685
2023-03-31,956903.841527685
2023-04-03,956903.841527685
2023-04-04,956903.841527685
2023-04-05,956903.841527685
2023-04-06,956903.841527685
2023-04-07,956903.841527685
2023-04-10,956903.841527685
2023-04-11,956903.841527685
2023-04-12,956903.841527685
2023-04-13,956903.841527685
2023-04-14,956903.841527685
2023-04-17,956903.841527685
2023-04-18,956903.841527685
2023-04-19,956903.841527685
2023-04-20,956903.841527685
2023-04-21,946903.841527685
2023-04-24,900575.3743744004
2023-04-25,900575.3743744004
2023-04-26,900575.3743744004
2023-04-27,900575.3743744004
2023-04-28,900575.3743744004
2023-05-01,900575.3743744004
2023-05-02,900575.3743744004
2023-05-03,900575.3743744004
2023-05-04,900575.3743744004
2023-05-05,900575.3743744004
2023-05-08,900575.3743744004
2023-05-09,900575.3743744004
2023-05-10,900575.3743744004
2023-05-11,900575.3743744004
2023-05-12,900575.3743744004
2023-05-15,900575.3743744004
2023-05-16,900575.3743744004
2023-05-17,890575.3743744004
2023-05-18,819803.623536679
2023-05-19,819803.623536679
2023-05-22,822122.4641163892
2023-05-23,824126.0419339205
2023-05-24,824126.0419339205
2023-05-25,801736.6614029469
2023-05-26,801736.6614029469
2023-05-29,801736.6614029469
2023-05-30,801736.6614029469
2023-05-31,801736.6614029469
2023-06-01,801736.6614029469
2023-06-02,801736.6614029469
2023-06-05,801736.6614029469
2023-06-06,801736.6614029469
2023-06-07,801736.6614029469
2023-06-08,801736.6614029469
2023-06-09,801736.6614029469
2023-06-12,801736.6614029469
2023-06-13,801736.6614029469
2023-06-14,801736.6614029469
2023-06-15,801736.6614029469
2023-06-16,801736.6614029469
2023-06-19,801736.6614029469
2023-06-20,801736.6614029469
2023-06-21,801736.6614029469
2023-06-22,801736.6614029469
2023-06-23,801736.6614029469
2023-06-26,801736.6614029469
2023-06-27,801736.6614029469
2023-06-28,801736.6614029469
2023-06-29,801736.6614029469
2023-06-30,801736.6614029469
2023-07-03,801736.6614029469
2023-07-04,801736.6614029469
2023-07-05,801736.6614029469
2023-07-06,801736.6614029469
2023-07-07,801736.6614029469
2023-07-10,801736.6614029469
2023-07-11,801736.6614029469
2023-07-12,801736.6614029469
2023-07-13,801736.6614029469
2023-07-14,801736.6614029469
2023-07-17,801736.6614029469
2023-07-18,801736.6614029469
2023-07-19,801736.6614029469
2023-07-20,801736.6614029469
2023-07-21,801736.6614029469
2023-07-24,796630.2784242235
2023-07-25,783436.9139866912
2023-07-26,783436.9139866912
2023-07-27,786356.2015607101
2023-07-28,801062.0839136513
2023-07-31,801062.0839136513
2023-08-01,801062.0839136513
2023-08-02,809682.9570395548
2023-08-03,809682.9570395548
2023-08-04,809682.9570395548
2023-08-07,808222.9555143508
2023-08-08,814047.4390774051
2023-08-09,814047.4390774051
2023-08-10,814047.4390774051
2023-08-11,814047.4390774051
2023-08-14,814047.4390774051
2023-08-15,814047.4390774051
2023-08-16,814047.4390774051
2023-08-17,814047.4390774051
2023-08-18,814356.3470219951
2023-08-21,814356.3470219951
2023-08-22,811645.5128527051
2023-08-23,819740.7668410904
2023-08-24,795099.4046335054
2023-08-25,856506.665359578
2023-08-28,856506.665359578
2023-08-29,856506.665359578
2023-08-30,856506.665359578
2023-08-31,869778.6105282854
2023-09-01,873078.1540970695
2023-09-04,873078.1540970695
2023-09-05,873078.1540970695
2023-09-06,873078.1540970695
2023-09-07,893640.6540970694
2023-09-08,902753.8285010844
2023-09-11,914715.0148099854
2023-09-12,926840.0660045246
2023-09-13,926840.0660045246
2023-09-14,926840.0660045246
2023-09-15,940771.6327655228
2023-09-18,930771.6327655228
2023-09-19,930771.6327655228
2023-09-20,920688.530272448
2023-09-21,910387.4017523827
2023-09-22,910387.4017523827
2023-09-25,884778.4273934084
2023-09-26,860030.5310176049
2023-09-27,860030.5310176049
2023-09-28,860030.5310176049
2023-09-29,860030.5310176049
2023-10-02,860030.5310176049
2023-10-03,860030.5310176049
2023-10-04,860030.5310176049
2023-10-05,850030.5310176049
2023-10-06,850030.5310176049
2023-10-09,850030.5310176049
2023-10-10,850030.5310176049
2023-10-11,850030.5310176049
2023-10-12,850030.5310176049
2023-10-13,850030.5310176049
2023-10-16,835945.1651639463
2023-10-17,835945.1651639463
2023-10-18,825945.1651639463
2023-10-19,804609.1327752824
2023-10-20,804609.1327752824
2023-10-23,804609.1327752824
2023-10-24,804609.1327752824
2023-10-25,809023.1244150016
2023-10-26,792552.5361797074
2023-10-27,792552.5361797074
2023-10-30,792552.5361797074
2023-10-31,792552.5361797074
2023-11-01,792552.5361797074
2023-11-02,793216.4365946453
2023-11-03,793216.4365946453
2023-11-06,793216.4365946453
2023-11-07,793216.4365946453
2023-11-08,793216.4365946453
2023-11-09,793216.4365946453
2023-11-10,793216.4365946453
2023-11-13,777510.4404631171
