,equity
2023-01-02,1000000.0
2023-01-03,1000000.0
2023-01-04,1000000.0
2023-01-05,1000000.0
2023-01-06,1000000.0
2023-01-09,1000000.0
2023-01-10,1000000.0
2023-01-11,1000000.0
2023-01-12,1000000.0
2023-01-13,1000000.0
2023-01-16,1000000.0
2023-01-17,1000000.0
2023-01-18,1000000.0
2023-01-19,1000000.0
2023-01-20,1000000.0
2023-01-23,1000000.0
2023-01-24,1000000.0
2023-01-25,1000000.0
2023-01-26,1000000.0
2023-01-27,1000000.0
2023-01-30,1000000.0
2023-01-31,1000000.0
2023-02-01,1000000.0
2023-02-02,1000000.0
2023-02-03,1000000.0
2023-02-06,1000000.0
2023-02-07,1000000.0
2023-02-08,1000000.0
2023-02-09,1000000.0
2023-02-10,1000000.0
2023-02-13,1000000.0
2023-02-14,1000000.0
2023-02-15,1000000.0
2023-02-16,1000000.0
2023-02-17,1000000.0
2023-02-20,1000000.0
2023-02-21,1000000.0
2023-02-22,1000000.0
2023-02-23,1000000.0
2023-02-24,1000000.0
2023-02-27,1000000.0
2023-02-28,1000000.0
2023-03-01,1000000.0
2023-03-02,1000000.0
2023-03-03,1000000.0
2023-03-06,995170.5598813497
2023-03-07,995170.5598813497
2023-03-08,995170.5598813497
2023-03-09,988635.5549161064
2023-03-10,988635.5549161064
2023-03-13,988635.5549161064
2023-03-14,988635.5549161064
2023-03-15,988635.5549161064
2023-03-16,988635.5549161064
2023-03-17,988635.5549161064
2023-03-20,988635.5549161064
2023-03-21,988635.5549161064
2023-03-22,988635.5549161064
2023-03-23,988635.5549161064
2023-03-24,988635.5549161064
2023-03-27,988635.5549161064
2023-03-28,988635.5549161064
2023-03-29,988635.5549161064
2023-03-30,988635.5549161064
2023-03-31,988635.5549161064
2023-04-03,988635.5549161064
2023-04-04,988635.5549161064
2023-04-05,988635.5549161064
2023-04-06,988635.5549161064
2023-04-07,988635.5549161064
2023-04-10,988635.5549161064
2023-04-11,988635.5549161064
2023-04-12,988635.5549161064
2023-04-13,988635.5549161064
2023-04-14,978635.5549161064
2023-04-17,968635.5549161064
2023-04-18,968635.5549161064
2023-04-19,968635.5549161064
2023-04-20,968635.5549161064
2023-04-21,968635.5549161064
2023-04-24,968635.5549161064
2023-04-25,968635.5549161064
2023-04-26,968635.5549161064
2023-04-27,968635.5549161064
2023-04-28,968635.5549161064
2023-05-01,968635.5549161064
2023-05-02,968635.5549161064
2023-05-03,968635.5549161064
2023-05-04,968635.5549161064
2023-05-05,968635.5549161064
2023-05-08,968635.5549161064
2023-05-09,977519.7248002762
2023-05-10,977519.7248002762
2023-05-11,977519.7248002762
2023-05-12,977519.7248002762
2023-05-15,977519.7248002762
2023-05-16,967519.7248002762
2023-05-17,957519.7248002762
2023-05-18,926853.1954815421
2023-05-19,930623.248957478
2023-05-22,932942.0895371882
2023-05-23,920542.0895371882
2023-05-24,912596.3531030796
2023-05-25,906678.1432265365
2023-05-26,906678.1432265365
2023-05-29,906678.1432265365
2023-05-30,906678.1432265365
2023-05-31,906678.1432265365
2023-06-01,906678.1432265365
2023-06-02,906678.1432265365
2023-06-05,906678.1432265365
2023-06-06,893492.5476586694
2023-06-07,893492.5476586694
2023-06-08,896935.5139065137
2023-06-09,904517.1131930773
2023-06-12,910488.4309505548
2023-06-13,898762.3626565775
2023-06-14,898762.3626565775
2023-06-15,898762.3626565775
2023-06-16,898762.3626565775
2023-06-19,898762.3626565775
2023-06-20,898762.3626565775
2023-06-21,898762.3626565775
2023-06-22,898762.3626565775
2023-06-23,898762.3626565775
2023-06-26,898762.3626565775
2023-06-27,898762.3626565775
2023-06-28,898762.3626565775
2023-06-29,898762.3626565775
2023-06-30,898762.3626565775
2023-07-03,898762.3626565775
2023-07-04,896366.6878468058
2023-07-05,902951.2517921944
2023-07-06,868699.8727535813
2023-07-07,857271.3013250099
2023-07-10,857271.3013250099
2023-07-11,892864.3255418872
2023-07-12,892864.3255418872
2023-07-13,904500.6891782508
2023-07-14,904500.6891782508
2023-07-17,904500.6891782508
2023-07-18,916980.7034963513
2023-07-19,902940.5288679413
2023-07-20,902940.5288679413
2023-07-21,907310.3867587416
2023-07-24,927209.5775358174
2023-07-25,915948.3162745561
2023-07-26,905948.3162745561
2023-07-27,905948.3162745561
2023-07-28,905948.3162745561
2023-07-31,909377.8008969981
2023-08-01,909377.8008969981
2023-08-02,909377.8008969981
2023-08-03,909377.8008969981
2023-08-04,909377.8008969981
2023-08-07,909377.8008969981
2023-08-08,909377.8008969981
2023-08-09,909377.8008969981
2023-08-10,909377.8008969981
2023-08-11,909377.8008969981
2023-08-14,909377.8008969981
2023-08-15,909377.8008969981
2023-08-16,909377.8008969981
2023-08-17,916246.9597755028
2023-08-18,916246.9597755028
2023-08-21,916246.9597755028
2023-08-22,916246.9597755028
2023-08-23,916246.9597755028
2023-08-24,916246.9597755028
2023-08-25,916246.9597755028
2023-08-28,916246.9597755028
2023-08-29,916246.9597755028
2023-08-30,893726.6345722509
2023-08-31,906998.5797409583
2023-09-01,911168.3279636394
2023-09-04,911168.3279636394
2023-09-05,912476.364854285
2023-09-06,912476.364854285
2023-09-07,933038.8648542849
2023-09-08,933038.8648542849
2023-09-11,913038.8648542849
2023-09-12,913038.8648542849
2023-09-13,913038.8648542849
2023-09-14,913038.8648542849
2023-09-15,913038.8648542849
2023-09-18,913038.8648542849
2023-09-19,913038.8648542849
2023-09-20,913038.8648542849
2023-09-21,913038.8648542849
2023-09-22,913038.8648542849
2023-09-25,913038.8648542849
2023-09-26,913038.8648542849
2023-09-27,913038.8648542849
2023-09-28,913038.8648542849
2023-09-29,913038.8648542849
2023-10-02,913038.8648542849
2023-10-03,913038.8648542849
2023-10-04,913038.8648542849
2023-10-05,913038.8648542849
2023-10-06,913038.8648542849
2023-10-09,913038.8648542849
2023-10-10,913038.8648542849
2023-10-11,913038.8648542849
2023-10-12,903038.8648542849
2023-10-13,893038.8648542849
2023-10-16,893038.8648542849
2023-10-17,893038.8648542849
2023-10-18,893038.8648542849
2023-10-19,893038.8648542849
2023-10-20,893038.8648542849
2023-10-23,893038.8648542849
2023-10-24,893038.8648542849
2023-10-25,893038.8648542849
2023-10-26,893038.8648542849
2023-10-27,893038.8648542849
2023-10-30,893038.8648542849
2023-10-31,893038.8648542849
2023-11-01,893038.8648542849
2023-11-02,936130.9647571065
2023-11-03,936130.9647571065
2023-11-06,936130.9647571065
2023-11-07,936130.9647571065
2023-11-08,936130.9647571065
2023-11-09,923796.162994992
