,equity
2026-04-01,1000000.0
2026-04-02,1000000.0
2026-04-03,1000000.0
2026-04-06,1000000.0
2026-04-07,1000000.0
2026-04-08,1000000.0
2026-04-09,1000000.0
2026-04-10,1000000.0
2026-04-13,1000000.0
2026-04-14,1000000.0
2026-04-15,1005289.6725440806
2026-04-16,1005289.6725440806
2026-04-17,1005289.6725440806
2026-04-20,1005289.6725440806
2026-04-21,1005289.6725440806
2026-04-22,1000289.6725440806
2026-04-23,1000289.6725440806
2026-04-24,1000289.6725440806
2026-04-27,1000289.6725440806
2026-04-28,1000289.6725440806
2026-04-29,1000289.6725440806
2026-04-30,1000289.6725440806
2026-05-01,1000289.6725440806
2026-05-04,1001877.7465180457
2026-05-05,999438.9095768391
2026-05-06,1001904.5042506529
2026-05-07,1002851.7620779275
2026-05-08,1002851.7620779275
