,equity
2023-01-02,1000000.0
2023-01-03,1000000.0
2023-01-04,1000000.0
2023-01-05,1000000.0
2023-01-06,1000000.0
2023-01-09,1000000.0
2023-01-10,1000000.0
2023-01-11,1000000.0
2023-01-12,1000000.0
2023-01-13,1000000.0
2023-01-16,1000000.0
2023-01-17,1000000.0
2023-01-18,1000000.0
2023-01-19,1000000.0
2023-01-20,1000000.0
2023-01-23,1000000.0
2023-01-24,1000000.0
2023-01-25,1000000.0
2023-01-26,1000000.0
2023-01-27,1000000.0
2023-01-30,1000000.0
2023-01-31,1000000.0
2023-02-01,1000000.0
2023-02-02,1000000.0
2023-02-03,1000000.0
2023-02-06,1000000.0
2023-02-07,1000000.0
2023-02-08,1000000.0
2023-02-09,1000000.0
2023-02-10,1000000.0
2023-02-13,1000000.0
2023-02-14,1000000.0
2023-02-15,1000000.0
2023-02-16,1000000.0
2023-02-17,1000000.0
2023-02-20,1000000.0
2023-02-21,1000000.0
2023-02-22,1000000.0
2023-02-23,1000000.0
2023-02-24,1000000.0
2023-02-27,1000000.0
2023-02-28,1000000.0
2023-03-01,1000000.0
2023-03-02,1000000.0
2023-03-03,1000000.0
2023-03-06,999596.7741935484
2023-03-07,999596.7741935484
2023-03-08,999596.7741935484
2023-03-09,999596.7741935484
2023-03-10,998384.6529814271
2023-03-13,998384.6529814271
2023-03-14,998384.6529814271
2023-03-15,998223.3626588465
2023-03-16,998223.3626588465
2023-03-17,998223.3626588465
2023-03-20,998223.3626588465
2023-03-21,998223.3626588465
2023-03-22,998223.3626588465
2023-03-23,998223.3626588465
2023-03-24,998223.3626588465
2023-03-27,998223.3626588465
2023-03-28,998223.3626588465
2023-03-29,998223.3626588465
2023-03-30,998304.6634718546
2023-03-31,998075.6558382668
2023-04-03,998075.6558382668
2023-04-04,998075.6558382668
2023-04-05,998075.6558382668
2023-04-06,998075.6558382668
2023-04-07,998075.6558382668
2023-04-10,998075.6558382668
2023-04-11,998075.6558382668
2023-04-12,998075.6558382668
2023-04-13,998075.6558382668
2023-04-14,998075.6558382668
2023-04-17,993075.6558382668
2023-04-18,993075.6558382668
2023-04-19,993075.6558382668
2023-04-20,993075.6558382668
2023-04-21,993075.6558382668
2023-04-24,993075.6558382668
2023-04-25,993075.6558382668
2023-04-26,993075.6558382668
2023-04-27,993075.6558382668
2023-04-28,993075.6558382668
2023-05-01,993075.6558382668
2023-05-02,993075.6558382668
2023-05-03,993075.6558382668
2023-05-04,993075.6558382668
2023-05-05,993075.6558382668
2023-05-08,993075.6558382668
2023-05-09,994004.2272668383
2023-05-10,994004.2272668383
2023-05-11,994004.2272668383
2023-05-12,994004.2272668383
2023-05-15,994004.2272668383
2023-05-16,994004.2272668383
2023-05-17,994004.2272668383
2023-05-18,978670.9626074713
2023-05-19,978965.0802545301
2023-05-22,978965.0802545301
2023-05-23,977765.0802545301
2023-05-24,977683.6849056928
2023-05-25,977119.5823415903
2023-05-26,978028.6732506813
2023-05-29,978028.6732506813
2023-05-30,968028.6732506813
2023-05-31,968028.6732506813
2023-06-01,963028.6732506813
2023-06-02,963028.6732506813
2023-06-05,963028.6732506813
2023-06-06,963028.6732506813
2023-06-07,963028.6732506813
2023-06-08,963361.2674857145
2023-06-09,964089.5671289962
2023-06-12,965799.3043487489
2023-06-13,964906.6844029437
2023-06-14,965519.6501820271
2023-06-15,965519.6501820271
2023-06-16,965519.6501820271
2023-06-19,965519.6501820271
2023-06-20,965519.6501820271
2023-06-21,965519.6501820271
2023-06-22,965519.6501820271
2023-06-23,965519.6501820271
2023-06-26,965519.6501820271
2023-06-27,965519.6501820271
2023-06-28,965519.6501820271
2023-06-29,965519.6501820271
2023-06-30,965519.6501820271
2023-07-03,965519.6501820271
2023-07-04,965246.9229092998
2023-07-05,966016.6823594717
2023-07-06,959261.3632105355
2023-07-07,959261.3632105355
2023-07-10,959261.3632105355
2023-07-11,969351.4533006256
2023-07-12,969351.4533006256
2023-07-13,975169.6351188074
2023-07-14,975169.6351188074
2023-07-17,975169.6351188074
2023-07-18,976807.5661532902
2023-07-19,975252.9443045506
2023-07-20,975252.9443045506
2023-07-21,975788.658590265
2023-07-24,978341.3467623079
2023-07-25,977710.7161316774
2023-07-26,977710.7161316774
2023-07-27,977710.7161316774
2023-07-28,977710.7161316774
2023-07-31,977797.5514661542
2023-08-01,977797.5514661542
2023-08-02,977797.5514661542
2023-08-03,977797.5514661542
2023-08-04,977797.5514661542
2023-08-07,977797.5514661542
2023-08-08,977797.5514661542
2023-08-09,977797.5514661542
2023-08-10,977797.5514661542
2023-08-11,977797.5514661542
2023-08-14,977797.5514661542
2023-08-15,977797.5514661542
2023-08-16,977797.5514661542
2023-08-17,978732.1309054065
2023-08-18,978732.1309054065
2023-08-21,978732.1309054065
2023-08-22,978732.1309054065
2023-08-23,978732.1309054065
2023-08-24,978732.1309054065
2023-08-25,978732.1309054065
2023-08-28,978732.1309054065
2023-08-29,978732.1309054065
2023-08-30,978732.1309054065
2023-08-31,978732.1309054065
2023-09-01,980817.005016747
2023-09-04,981726.095925838
2023-09-05,981871.0234620699
2023-09-06,981871.0234620699
2023-09-07,988871.0234620698
2023-09-08,988871.0234620698
2023-09-11,983871.0234620698
2023-09-12,983871.0234620698
2023-09-13,983871.0234620698
2023-09-14,983871.0234620698
2023-09-15,983871.0234620698
2023-09-18,983871.0234620698
2023-09-19,983871.0234620698
2023-09-20,984585.3091763555
2023-09-21,985299.5948906413
2023-09-22,985924.5948906413
2023-09-25,985924.5948906413
2023-09-26,985924.5948906413
2023-09-27,985924.5948906413
2023-09-28,985924.5948906413
2023-09-29,985924.5948906413
2023-10-02,985924.5948906413
2023-10-03,985924.5948906413
2023-10-04,985924.5948906413
2023-10-05,985924.5948906413
2023-10-06,985924.5948906413
2023-10-09,985924.5948906413
2023-10-10,985924.5948906413
2023-10-11,985924.5948906413
2023-10-12,985924.5948906413
2023-10-13,980924.5948906413
2023-10-16,980924.5948906413
2023-10-17,980924.5948906413
2023-10-18,980924.5948906413
2023-10-19,980924.5948906413
2023-10-20,980924.5948906413
2023-10-23,980924.5948906413
2023-10-24,980924.5948906413
2023-10-25,980924.5948906413
2023-10-26,980924.5948906413
2023-10-27,980924.5948906413
2023-10-30,980924.5948906413
2023-10-31,980924.5948906413
2023-11-01,980924.5948906413
2023-11-02,989349.9836850272
2023-11-03,989349.9836850272
2023-11-06,989349.9836850272
2023-11-07,989349.9836850272
2023-11-08,989349.9836850272
2023-11-09,989349.9836850272
